標題: 2023/12/27(三)萬八穩了?營建股先創高 美10月房價升幅飆高 房市起漲段再現?【早晨財經速解讀】上傳日期: 2023-12-27 01:09:02影片ID: L2Q4YY2y-pA
摘要:
### Summary

1. 聖誕假期對股市交易帶來清淡影響，但美國股市四大指數持續創收盤歷史新高。
2. Intel股價暴漲近5%，同時費城半導體指數持續創歷史新高。
3. 台北股市也創下新高，外資買超189億，台幣持續走升，外資持有台幣資產意願增加。

### Future Predictions

1. 美國股市預測：
   - 美國科技七大巨頭股價可能創下歷史新高，費城半導體指數預測持續拉升。
   - 美國房價指數持續攀升，利率下降可能導致房價進一步上漲。
   - 高強度的降息可能性增加，市場對明年經濟形勢悲觀，可能引發失業率上升。
   
2. 台灣股市展望：
   - 台灣銀建指數表現強勁，預估將持續上升，銀建股市場展望正面。
   - 台灣房市買氣活躍，房貸金額創新高，市場健康，但建築融資下降。
   - 台灣銀行業放款趨勢下滑，但預計在2023年下半年重新點火。

3. 股市展望：
   - 美國建築行業漲幅高，投行分析預期持續，台灣銀建指數表現優異。
   - 個股展望包括Intel、美國科技七大巨頭、費城半導體指數、台北股市、新美、紅樸等。

請注意，未來股市走勢的預測應謹慎對待，建議在做出投資決策前諮詢專業意見。
