標題: 2023/12/28(四)道瓊又創史高 景氣燈大升!再不買來不及?【早晨財經速解讀】上傳日期: 2023-12-28 01:15:38影片ID: W79t4vmZo68
摘要:
### Summary:
1. 股市表現:
   - 標普白指數昨日創下歷史新高，長幅約110點，長幅0.14%，距離歷史高點僅差100點。
   - 台股走勢也呈現上揚，已來到26點，距離188點僅差100點。
   - 部分科技股推動指數上漲。

2. 公債職業率:
   - 公債職業率持續下滑，目前已跌破3.78%，成為重要觀察指標。
   - 預估聯準會可能在3月份降息1碼。

3. 債券市場:
   - 投資人資金流入債券市場增加，存單和國債等投資品的購買量達到2015年來的最高點。
   - 信用卡利率目前約為23%，違約率持續上升，尤其在年輕人群體中較為明顯。

4. 消費衰退:
   - 消費衰退現象主要集中在年輕人口，對年輕人喜歡的產業影響較大。
   - 建議投資策略包括偏向中老年族群喜好的產業。

### Future Outlook:
1. 股市展望: 
   - 標普500 ETF基金在十二月份吸引了四百億美元資金流入，創1993年以來最大單月流入紀錄。
   - 部分科技巨頭公司已經超越2022年的表現，預計股價將創新高。

2. 聯準會政策:
   - 預測聯準會將開啟一整條的降息循環，未來幾個季度高的債務成本可能對收益和利息的覆蓋率造成影響。

3. 消費趨勢:
   - 消費衰退趨勢集中在年輕人口，建議調整投資策略以應對。

4. 潛在風險:
   - 統計顯示企業違約比例上升，但總金額相對未造成顯著影響。
   - 違約金額主要集中在年輕人口。
